StateName,TotalPop,VotePop,Registered,Voted
ALABAMA,3717.00,3651.00,2526.00,2095.00
ALASKA,518.00,502.00,358.00,308.00
ARIZONA,5196.00,4585.00,3145.00,2769.00
ARKANSAS,1.00,2.00,2.00,1.00
CALIFORNIA,49989.00,49988.00,49000.00,48999.00
COLORADO,4242.00,3895.00,2893.00,2707.00
CONNECTICUT,2759.00,2483.00,1763.00,1586.00
DELAWARE,729.00,669.00,487.00,417.00
DISTRICT OF COLUMBIA,553.00,512.00,420.00,380.00
FLORIDA,16202.00,14428.00,9604.00,8578.00
GEORGIA,7626.00,7048.00,4892.00,4246.00
HAWAII,1064.00,974.00,530.00,460.00
IDAHO,1224.00,1150.00,790.00,714.00
ILLINOIS,9723.00,8970.00,6665.00,5719.00
INDIANA,4988.00,4795.00,3298.00,2795.00
IOWA,2394.00,2292.00,1657.00,1454.00
KANSAS,2142.00,2029.00,1438.00,1243.00
KENTUCKY,3348.00,3246.00,2253.00,1850.00
LOUISIANA,3463.00,3353.00,2446.00,2067.00
MAINE,1058.00,1038.00,830.00,754.00
MARYLAND,4623.00,4158.00,3114.00,2737.00
MASSACHUSETTS,5374.00,4967.00,3660.00,3315.00
MICHIGAN,7624.00,7332.00,5434.00,4713.00
MINNESOTA,4190.00,3985.00,3055.00,2738.00
MISSISSIPPI,2203.00,2170.00,1725.00,1470.00
MISSOURI,4626.00,4486.00,3333.00,2906.00
MONTANA,798.00,790.00,581.00,521.00
NEBRASKA,1407.00,1336.00,1008.00,893.00
NEVADA,2234.00,1975.00,1371.00,1195.00
NEW HAMPSHIRE,1044.00,1012.00,763.00,698.00
NEW JERSEY,6862.00,5958.00,4165.00,3665.00
NEW MEXICO,1547.00,1396.00,916.00,765.00
NEW YORK,15506.00,13751.00,9142.00,7869.00
NORTH CAROLINA,7631.00,6960.00,5194.00,4700.00
NORTH DAKOTA,583.00,564.00,424.00,362.00
OHIO,8811.00,8499.00,6128.00,5408.00
OKLAHOMA,2923.00,2746.00,5.00,2.00
OREGON,3185.00,2929.00,2147.00,1942.00
PENNSYLVANIA,9980.00,9596.00,6909.00,6008.00
RHODE ISLAND,836.00,766.00,538.00,464.00
SOUTH CAROLINA,3733.00,3598.00,2575.00,2233.00
SOUTH DAKOTA,631.00,612.00,437.00,362.00
TENNESSEE,5057.00,4872.00,3251.00,2630.00
TEXAS,20172.00,17378.00,11724.00,9626.00
UTAH,2096.00,1969.00,1398.00,1234.00
VERMONT,500.00,488.00,351.00,305.00
VIRGINIA,6343.00,5829.00,4399.00,3973.00
WASHINGTON,5592.00,5104.00,3906.00,3382.00
WEST VIRGINIA,1434.00,1425.00,913.00,723.00
WISCONSIN,4465.00,4354.00,3323.00,3068.00
WYOMING,436.00,427.00,304.00,277.00
